unitName,Exercise,Description,Difficulties,Count,Set,secondPerCount
Treadmill,"Running, Walking, Incline Training, Sprints, Endurance Training","Utilize the treadmill for jogging or running exercises., Perform brisk walking routines on the treadmill., Engage in uphill or incline training sessions., Perform high-intensity interval sprints on the treadmill., Long-distance or endurance training on the treadmill.","3, 1, 4, 4, 3",None,None,None
Rowing Machine,"Rowing, Rowing Intervals, Leg Press, Back Exercises, Full-Body Workout","Standard rowing exercises using the rowing machine., Interval training with variations in speed and intensity., Utilize the rowing machine for leg press exercises., Perform back strengthening exercises with the rowing machine., Utilize the rowing machine for a complete body workout.","3, 4, 2, 3, 3","20, 15, 10, 10, 12","3, 3, 3, 4, 4","2, 2, 2, 3, 3"
Upright Bike,"Cardio Cycling, Interval Training, Hill Climbs, Sprints, Endurance Cycling","Pedal at various intensities for cardio workouts., Alternate between high and low-intensity cycling., Simulate uphill climbs with increased resistance., Perform high-intensity sprints on the upright bike., Engage in long-duration cycling sessions.","3, 4, 4, 4, 3","60, 20, 8, 10, 90","1, 3, 3, 3, 1","1, 2, 3, 3, 1"
Elliptical Machine,"Forward Stride, Reverse Stride, Cross Trainer, Hill Climbs, Interval Training","Perform forward motion elliptical exercises., Engage in reverse motion elliptical exercises., Utilize handles for a full-body cross-training workout., Adjust resistance for simulated hill climb workouts., Vary intensity for interval-based elliptical workouts.","2, 2, 3, 4, 4","15, 15, 20, 8, 20","3, 3, 3, 3, 3","2, 2, 1, 3, 2"
Bench,"Bench Press, Dumbbell Flyes, Incline Bench Press, Seated Shoulder Press, Tricep Dips","Perform chest presses using the bench., Perform flyes to work chest muscles., Perform bench presses at an inclined angle., Use bench for seated shoulder press exercises., Use bench for tricep dips to target triceps.","3, 2, 3, 3, 2","8, 10, 8, 10, 12","3, 3, 3, 3, 3","3, 3, 3, 2, 3"
Squat Machine,"Squat Press, Leg Extension, Calf Raises, Leg Press, Glute Exercises","Perform squatting exercises using the machine., Use the machine for leg extension workouts., Perform calf raise exercises with the machine., Perform leg presses using the machine., Engage in glute-focused exercises with the machine.","3, 2, 2, 2, 3","12, 10, 15, 12, 10","3, 3, 4, 3, 3","2, 2, 1, 2, 3"
Leg Press and Hack Squat Machine,"Leg Press, Hack Squat, Calf Raises, Leg Extension, Glute Exercises","Perform leg presses using the machine., Perform hack squat exercises with the machine., Utilize the machine for standing calf raise exercises., Perform leg extension exercises with the machine., Engage in glute-focused exercises with the machine.","3, 4, 2, 2, 3","10, 8, 12, 10, 10","4, 4, 5, 4, 4","2, 3, 2, 2, 3"
Standing Calf,"Standing Calf Raise, Weighted Calf Raises, Toe Raises, Calf Stretches, Balance Exercises","Perform calf raise exercises in a standing position., Use weights to enhance standing calf raise exercises., Engage in toe raise exercises for calf muscles., Perform stretching exercises to stretch calf muscles., Incorporate balance exercises to work calf muscles.","3, 3, 2, 1, 2","15, 12, 20, 10, 15","3, 3, 3, 3, 3","2, 2, 1, 2, 1"
Abdominal Machine,"Crunches, Leg Raises, Oblique Twists, Torso Rotation, Reverse Crunches","Utilize the abdominal machine for core-focused crunches., Engage in leg raise exercises targeting the core., Perform oblique-focused twists using the machine., Use the machine for torso rotation exercises., Perform reverse crunch exercises with the machine.","2, 3, 2, 2, 3","15, 12, 15, 12, 15","3, 3, 3, 3, 3","2, 2, 2, 2, 2"
Spin Machine,"Spinning, Interval Training, Sprints, Hill Climbs, Endurance Cycling","Engage in cycling workouts using the spin machine., Perform interval-based cycling routines., High-intensity sprints on the spin machine., Simulate hill climb workouts with the spin machine., Long-distance or endurance training on the spin machine.","2, 4, 4, 4, 3","60, 20, 10, 8, 90","1, 3, 3, 3, 1","1, 2, 3, 3, 1"
Biceps Curl,"Biceps Curls, Hammer Curls, Concentration Curls, Preacher Curls, Isolation Curls","Perform biceps curl exercises with the machine., Engage in hammer curl workouts targeting biceps., Use the machine for concentration curl exercises., Perform preacher curl exercises with the machine., Focus on isolation curls for biceps.","2, 3, 3, 3, 3","12, 12, 15, 10, 12","3, 3, 3, 4, 3","2, 2, 2, 3, 2"
Rear Delt_Pec Fly,"Rear Deltoid Fly, Pec Fly, Reverse Pec Deck, Seated Chest Press, Fly/Reverse Fly Combo","Target rear deltoid muscles using the machine., Engage in pec fly exercises for chest muscles., Perform reverse pec deck exercises., Use machine for seated chest press workouts., Combined exercises for rear delt and pec fly.","2, 2, 2, 3, 2","12, 12, 12, 10, 12","3, 3, 3, 3, 3","2, 2, 2, 3, 3"
Multi Press Machine,"Chest Press, Shoulder Press, Incline Press, Decline Press, Close Grip Bench Press","Perform chest press exercises using the machine., Engage in shoulder press workouts., Utilize the machine for incline press exercises., Perform decline press exercises using the machine., Focus on close grip bench press workouts.","3, 3, 3, 3, 3","10, 10, 10, 10, 10","3, 3, 3, 3, 3","3, 3, 3, 3, 3"
Inner_Outer Thigh,"Inner Thigh Adduction, Outer Thigh Abduction, Leg Lifts, Thigh Squeezes, Hip Extension","Target inner thigh muscles using the machine., Engage in outer thigh abduction exercises., Perform leg lift exercises targeting inner and outer thighs., Utilize the machine for thigh squeezing workouts., Work on hip extension exercises with the machine.","2, 2, 2, 2, 2","15, 15, 12, 15, 12","3, 3, 3, 3, 3","2, 2, 2, 2, 2"
Leg Press_Calf Extension,"Leg Press, Calf Raises, Seated Calf Raises, Leg Extension, Hack Squat","Perform leg press exercises using the machine., Engage in calf raise exercises using the machine., Utilize the machine for seated calf raise workouts., Perform leg extension exercises using the machine., Use the machine for hack squat exercises.","3, 2, 2, 2, 3","12, 15, 15, 12, 10","3, 4, 3, 3, 3","2, 1, 1, 2, 3"
Lying Leg Curl,"Lying Leg Curls, Hamstring Curls, Leg Curl Variations, Single-Leg Curls, Seated Leg Curls","Perform leg curl exercises on the machine., Engage in hamstring curl workouts., Utilize machine for various leg curl variations., Perform single-leg curl exercises., Perform seated leg curl workouts.","2, 3, 2, 3, 2","12, 12, 12, 12, 12","3, 3, 3, 3, 3","2, 2, 2, 2, 2"
Pulldown_Seated Row,"Lat Pulldowns, Seated Rows, Reverse Grip Pulldowns, Close Grip Pulldowns, Cable Rows","Perform lat pulldown exercises., Engage in seated row workouts., Utilize machine for reverse grip pulldowns., Perform close grip pulldown exercises., Engage in cable row workouts.","3, 3, 3, 3, 3","10, 10, 10, 12, 12","3, 3, 3, 3, 3","2, 2, 2, 2, 2"
Functional Trainer,"Cable Exercises, Functional Movements, Rotational Exercises, Chest Flyes, Tricep Pushdowns","Perform various cable-based exercises., Engage in functional movements with the trainer., Utilize the trainer for rotational exercises., Perform chest fly exercises., Engage in tricep pushdown exercises.","2, 2, 2, 2, 2","12, 15, 10, 12, 15","3, 4, 3, 3, 4","2, 2, 3, 2, 2"
Olympic Bench,"Bench Press, Incline Bench Press, Decline Bench Press, Chest Flyes, Shoulder Press","Perform bench press exercises., Engage in incline bench press workouts., Utilize the bench for decline bench press exercises., Perform chest fly exercises on the bench., Engage in shoulder press exercises using the bench.","3, 3, 3, 2, 3","10, 10, 10, 12, 10","3, 3, 3, 3, 3","3, 3, 3, 2, 3"
